density,samp_size,seed,fscore,ari
0.8,50000,1,0.972972972972973,1.0
0.8,100000,1,0.972972972972973,1.0
0.2,10,2,1.0,0.0
0.2,100,2,0.5,0.9379310344827586
0.2,200,2,1.0,0.9379310344827586
0.2,500,2,1.0,1.0
0.2,1000,2,0.923076923076923,1.0
0.2,2000,2,0.923076923076923,1.0
0.2,5000,2,0.923076923076923,1.0
0.2,10000,2,0.923076923076923,1.0
0.2,20000,2,0.923076923076923,1.0
0.2,50000,2,0.923076923076923,1.0
0.2,100000,2,0.923076923076923,1.0
0.5,10,2,1.0,0.0
0.5,100,2,0.7692307692307693,0.4230769230769231
0.5,200,2,0.8750000000000001,0.9200710479573712
0.5,500,2,0.8,1.0
0.5,1000,2,0.846153846153846,1.0
0.5,2000,2,0.846153846153846,1.0
0.5,5000,2,0.846153846153846,1.0
0.5,10000,2,0.846153846153846,1.0
0.5,20000,2,0.846153846153846,1.0
0.5,50000,2,0.846153846153846,1.0
0.5,100000,2,0.846153846153846,1.0
0.8,10,2,1.0,0.0
0.8,100,2,1.0,0.0
0.8,200,2,1.0,0.4521739130434782
0.8,500,2,1.0,0.4521739130434782
0.8,1000,2,0.9090909090909092,0.5544554455445545
0.8,2000,2,1.0,0.8085106382978723
0.8,5000,2,1.0,1.0
0.8,10000,2,1.0,1.0
0.8,20000,2,1.0,1.0
0.8,50000,2,1.0,1.0
0.8,100000,2,1.0,1.0
0.2,10,3,0.0,0.0229885057471264
0.2,100,3,0.7499999999999999,0.7887323943661971
0.2,200,3,0.8333333333333333,1.0
0.2,500,3,1.0,1.0
0.2,1000,3,0.8571428571428571,1.0
0.2,2000,3,0.8750000000000001,1.0
0.2,5000,3,0.8750000000000001,1.0
0.2,10000,3,0.8750000000000001,1.0
0.2,20000,3,0.8750000000000001,1.0
0.2,50000,3,0.8750000000000001,1.0
0.2,100000,3,0.8750000000000001,1.0
0.5,10,3,1.0,0.0
0.5,100,3,0.5217391304347827,0.2268041237113402
0.5,200,3,0.7222222222222223,0.2913385826771653
0.5,500,3,0.6399999999999999,0.3778801843317972
0.5,1000,3,0.6666666666666666,0.6456692913385826
0.5,2000,3,0.7272727272727273,0.6456692913385826
0.5,5000,3,0.8,1.0
0.5,10000,3,0.8,1.0
0.5,20000,3,0.8,1.0
0.5,50000,3,0.8,1.0
0.5,100000,3,0.8,1.0
0.8,10,3,1.0,0.0
0.8,100,3,1.0,0.0206185567010309
0.8,200,3,0.9090909090909092,0.0174672489082969
0.8,500,3,0.8571428571428572,0.0774487471526196
0.8,1000,3,0.9285714285714286,0.2340425531914893
0.8,2000,3,0.8333333333333333,0.403183023872679
0.8,5000,3,0.8947368421052632,0.6924829157175398
0.8,10000,3,0.8947368421052632,0.6924829157175398
0.8,20000,3,0.8947368421052632,0.6924829157175398
0.8,50000,3,0.8947368421052632,0.6924829157175398
0.8,100000,3,0.8947368421052632,0.6924829157175398
0.2,10,4,0.0,0.0251572327044025
0.2,100,4,0.5,1.0
0.2,200,4,1.0,1.0
0.2,500,4,1.0,1.0
0.2,1000,4,1.0,1.0
