graph_family,edge_probability,num_nodes,samp_size,num_intervs,seed,method,method_label,precision,recall,fscore,ari,runtime_sec,score
erdos_renyi,0.15,10,1000,5,1,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0245863340096548,
erdos_renyi,0.15,10,1000,5,2,RePaRe,RePaRe,0.8333333333333334,1.0,0.9090909090909092,0.64,0.0349371250486001,
erdos_renyi,0.15,10,1000,5,3,RePaRe,RePaRe,0.6666666666666666,1.0,0.8,0.6170212765957447,0.0352446250617504,
erdos_renyi,0.15,10,1000,5,4,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0270154590252786,
erdos_renyi,0.15,10,1000,5,5,RePaRe,RePaRe,0.6666666666666666,1.0,0.8,0.5522388059701493,0.0491152079775929,
erdos_renyi,0.15,10,1000,5,6,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0226588749792426,
erdos_renyi,0.15,10,1000,5,7,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0312034579692408,
erdos_renyi,0.15,10,1000,5,8,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0379977500997483,
erdos_renyi,0.15,10,1000,5,9,RePaRe,RePaRe,0.875,1.0,0.9333333333333332,1.0,0.0331922089681029,
erdos_renyi,0.15,10,1000,5,10,RePaRe,RePaRe,0.6,1.0,0.7499999999999999,1.0,0.0525112500181421,
erdos_renyi,0.15,10,1000,5,11,RePaRe,RePaRe,0.4615384615384615,1.0,0.631578947368421,1.0,0.0399930420098826,
erdos_renyi,0.15,10,1000,5,12,RePaRe,RePaRe,0.5454545454545454,1.0,0.7058823529411764,1.0,0.0406465840060263,
erdos_renyi,0.15,10,1000,5,13,RePaRe,RePaRe,0.5384615384615384,1.0,0.7000000000000001,1.0,0.0755431660218164,
erdos_renyi,0.15,10,1000,5,14,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0118309999816119,
erdos_renyi,0.15,10,1000,5,15,RePaRe,RePaRe,0.8,1.0,0.888888888888889,1.0,0.0411699169781059,
erdos_renyi,0.15,10,1000,5,16,RePaRe,RePaRe,0.5555555555555556,1.0,0.7142857142857143,1.0,0.039061167044565,
erdos_renyi,0.15,10,1000,5,17,RePaRe,RePaRe,0.75,1.0,0.8571428571428571,1.0,0.0300202920334413,
erdos_renyi,0.15,10,1000,5,18,RePaRe,RePaRe,0.7777777777777778,1.0,0.8750000000000001,0.6301369863013698,0.0418419999768957,
erdos_renyi,0.15,10,1000,5,19,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0168494579847902,
erdos_renyi,0.15,10,10000,5,0,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0854082499863579,
erdos_renyi,0.15,10,10000,5,1,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0619522080523893,
erdos_renyi,0.15,10,10000,5,2,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0829945000587031,
erdos_renyi,0.15,10,10000,5,3,RePaRe,RePaRe,0.6666666666666666,1.0,0.8,1.0,0.0741203749785199,
erdos_renyi,0.15,10,10000,5,4,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.054589582956396,
erdos_renyi,0.15,10,10000,5,5,RePaRe,RePaRe,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,0.1248402500059455,
erdos_renyi,0.15,10,10000,5,6,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0560160840395838,
erdos_renyi,0.15,10,10000,5,7,RePaRe,RePaRe,1.0,1.0,1.0,1.0,0.0777200000593438,
